points_per_cell,radius_probe_m,probe_kind,number_cdf_eulerian,number_cdf_cohort,number_cdf_absolute_error,M3_cdf_eulerian,M3_cdf_cohort,M3_cdf_absolute_error
4,2.0049896543903484e-08,independent_subcell_probe,0.9999999816488753,0.9999999817451652,9.628997599264721e-11,0.9999998171740944,0.9999998180644885,8.903940917903697e-10
4,2.0058281242911176e-08,canonical_cell_edge,0.9999999819653017,0.9999999819653062,4.440892098500626e-15,0.9999998201021052,0.9999998201021019,3.3306690738754696e-15
4,2.0066679985181126e-08,independent_subcell_probe,0.9999999822615623,0.9999999821714176,9.014466950674205e-11,0.9999998228469572,0.9999998220111889,8.357683434212504e-10
4,2.0075078727451077e-08,independent_subcell_probe,0.9999999825578229,0.9999999825578274,4.551914400963142e-15,0.9999998255952578,0.9999998255949609,2.9687363678476686e-13
4,2.0083477469721024e-08,independent_subcell_probe,0.9999999828540834,0.9999999829442373,9.015388435784644e-11,0.99999982834701,0.999999829184855,8.378450155888117e-10
4,2.0091876211990975e-08,canonical_cell_edge,0.9999999831503441,0.9999999831503488,4.6629367034256575e-15,0.9999998311022167,0.9999998311022134,3.3306690738754696e-15
4,2.010028902104379e-08,independent_subcell_probe,0.9999999834276844,0.9999999833432971,8.438727494564091e-11,0.9999998336847052,0.9999998328983741,7.863311113354143e-10
4,2.0108701830096602e-08,independent_subcell_probe,0.9999999837050249,0.9999999837050294,4.551914400963142e-15,0.9999998362704385,0.999999836270159,2.795541576006144e-13
4,2.0117114639149414e-08,independent_subcell_probe,0.9999999839823651,0.9999999840667616,8.43964897967453e-11,0.9999998388594192,0.9999998396477039,7.882846597695448e-10
4,2.012552744820223e-08,canonical_cell_edge,0.9999999842597055,0.9999999842597099,4.440892098500626e-15,0.99999984145165,0.9999998414516467,3.3306690738754696e-15
4,2.013395434759791e-08,independent_subcell_probe,0.9999999845192967,0.9999999844403101,7.898659504235184e-11,0.9999998438810319,0.9999998431413195,7.397124024421942e-10
